Airport, Airplane ID, Arrival Time, Local Simulation Time, Number of Flights, Origin, Destination
Airport4, 1.1, 59.082537, 78.738236, 1, 0, 3
Airport4, 1.2, 90.300372, 94.647774, 1, 0, 3
Airport4, 3.7, 147.251849, 145.328058, 1, 2, 3
Airport4, 3.8, 149.121440, 147.251849, 1, 2, 3
Airport4, 2.4, 86.690669, 205.137312, 1, 1, 3
Airport4, 2.3, 87.888617, 94.819846, 1, 1, 3
Airport4, 1.5, 189.782708, 234.604644, 1, 0, 3
Airport4, 1.3, 237.467492, 207.816277, 2, 2, 3
Airport4, 2.6, 119.673690, 217.345699, 1, 1, 3
Airport4, 2.9, 176.316098, 311.097840, 1, 1, 3
