Airport, Airplane ID, Arrival Time, Local Simulation Time, Number of Flights, Origin, Destination
Airport4, 4.2, 55.956887, 53.629319, 0, 3, 2
Airport4, 4.1, 56.408870, 54.332175, 0, 3, 2
Airport4, 4.4, 87.470013, 84.628382, 0, 3, 1
Airport4, 4.3, 88.655146, 86.297645, 0, 3, 1
Airport4, 4.5, 115.102728, 113.277840, 0, 3, 2
Airport4, 4.6, 119.115918, 116.863590, 0, 3, 1
Airport4, 4.7, 146.265681, 144.090157, 0, 3, 0
Airport4, 4.8, 149.844727, 147.032554, 0, 3, 0
Airport4, 4.9, 174.941496, 173.112232, 0, 3, 1
Airport4, 4.10, 177.820712, 176.249972, 0, 3, 2
Airport4, 1.1, 205.463707, 203.705018, 1, 3, 2
Airport4, 1.2, 207.904740, 205.518134, 1, 3, 2
Airport4, 2.4, 236.595065, 233.914673, 1, 3, 1
Airport4, 2.3, 237.112248, 235.419318, 1, 3, 0
Airport4, 3.7, 266.236080, 264.001166, 1, 3, 1
Airport4, 3.8, 267.168493, 265.651316, 1, 3, 2
Airport4, 2.6, 296.958355, 294.072068, 1, 3, 1
Airport4, 1.5, 298.813188, 296.501764, 1, 3, 2
Airport4, 1.3, 323.395598, 321.565745, 2, 3, 0
